brand_name,generic_name
Crocin,Paracetamol
Calpol,Paracetamol
Dolo 650,Paracetamol
Combiflam,Ibuprofen + Paracetamol
Flexon,Ibuprofen + Paracetamol
Voveran,Diclofenac
Meftal Spas,Mefenamic Acid + Dicyclomine
Saridon,Paracetamol + Propyphenazone + Caffeine
Augmentin,Amoxicillin + Clavulanic Acid
Azithral,Azithromycin
Taxim-O,Cefixime
Ciprobid,Ciprofloxacin
Montek-LC,Montelukast + Levocetirizine
Cetzin,Cetirizine
Allegra,Fexofenadine
Avil,Pheniramine Maleate
Pantocid,Pantoprazole
Pan-D,Pantoprazole + Domperidone
Omez,Omeprazole
Aciloc,Ranitidine
Digene,Magnesium Hydroxide + Aluminium Hydroxide
Glycomet,Metformin
Jalra-M,Vildagliptin + Metformin
Amlong,Amlodipine
Telma,Telmisartan
Lipvas,Atorvastatin
Rosuvas,Rosuvastatin
Ecosprin,Aspirin
Stemetil,Prochlorperazine
Ondem,Ondansetron
Roko,Loperamide
Dulcolax,Bisacodyl
Cremaffin,Liquid Paraffin + Milk of Magnesia
Ascoril,Bromhexine + Guaifenesin + Terbutaline
Corex,Chlorpheniramine + Codeine
Liv.52,Herbal Extracts
Neurobion Forte,Vitamin B-Complex + Vitamin B12
Calcirol,Cholecalciferol (Vitamin D3)
Zocon,Fluconazole
Betadine,Povidone-Iodine
